url,n_users,description
https://www.nbcnews.com/politics/congress/jan-6-panel-has-firsthand-testimony-ivanka-asked-trump-intervene-n1286831,6,"GOP Rep. Liz Cheney said the panel also had testimony that the then-president was watching the attack on TV as allies, including his daughter, asked him to do something."
https://www.npr.org/2022/01/04/1070032923/jamie-raskin-jan-6-capitol-unthinkable,6,Raskin's son died just days before the Capitol insurrection. Now Raskin serves on the House select committee charged with investigating the Jan. 6 attack. His new memoir is Unthinkable.
https://www.huffpost.com/entry/jenna-ryan-sentenced-capitol-attack-trump_n_6182bb4fe4b0c8666bd6f913,5,"Jenna Ryan, a Texas real estate agent who flew to D.C. on a private plane and livestreamed in the Capitol, got 60 days in prison."
https://www.washingtonpost.com/politics/2022/01/04/house-jan-6-committee-requests-information-fox-news-host-sean-hannity/,5,"The committee has information that indicates Hannity had ""advance knowledge regarding President Trump’s and his legal team’s planning for January 6th,” its chair and vice chair wrote."
https://www.msnbc.com/all-in/watch/jan-6-committee-releases-explosive-texts-from-sean-hannity-130140741655,5,"The Jan. 6 committee released private text messages sent from Fox News host Sean Hannity to Mark Meadows and others in the days before and during the insurrection. “The idea that Sean Hannity was truly appropriately worried about what Trump would do should scare all of us,” says Chris Hayes."
https://www.msnbc.com/opinion/how-jim-jordan-could-wind-getting-arrested-congress-n1286532,4,"If the Jan. 6 committee issues subpoenas to Trump allies in Congress, things could get weird."
https://www.huffpost.com/entry/general-steven-anderson-capitol-riot-cnn_n_61d22e8be4b0c7d8b8a565b4,4,"""Start learning about our country and how it’s actually supposed to run,"" retired Brig. General Steven Anderson urged Trump supporters on CNN."
https://robertreich.substack.com/,4,"On power, politics, and the real economic system.Click to read Robert Reich, a Substack publication with tens of thousands of readers."
https://www.newsandguts.com/lawyers-who-worked-for-gop-presidents-ask-supreme-court-to-rule-against-trump/,4,"A group of high-powered lawyers who worked for Republican presidents have publicly undercut Donald Trump’s claim that he’s entitled to executive privilege. Trump has brought the executive privilege argument to the Supreme Court, which he hopes will block the House’s January 6th committee from ..."
https://robertreich.substack.com/p/real-meaning-jan-6,4,Listen now (12 min) | We must answer Trump's neofascism with a democracy and an economy that work for all
https://www.npr.org/2022/01/03/1070037412/covid-congress-house-senate-omicron,4,"The move follows an unprecedented spike in positivity rates in the Capitol, and mirrors record-high infection rates throughout Washington D.C., driven by the highly contagious omicron variant."
https://www.politifact.com/factchecks/2009/jan/20/nancy-pelosi/legend-slaves-building-capitol-correct/,4,
https://www.pbs.org/newshour/show/trump-should-serve-time-for-jan-6-riot-partner-of-capitol-cop-who-died-says,3,"As rioters breached the Capitol's perimeter last January, Capitol Police Officers like Brian Sicknick tried pushing back the crowd to protect the building and the lawmakers. Pro-Trump rioters sprayed him with a chemical. He collapsed later that evening, suffered two strokes and died the next day, at..."
https://www.newyorker.com/humor/borowitz-report/ivanka-trump-reportedly-begged-putin-to-order-her-dad-to-stop-capitol-attack,3,"“You’ve got to talk sense to my dad,” she pleaded. “You’re the only one he listens to.”"
https://www.nytimes.com/2022/01/04/business/sean-hannity-jan-6-committee.html,3,The committee told Mr. Hannity it had obtained “dozens of text messages” he exchanged with senior Trump White House officials around the time of the riot.
https://www.washingtonpost.com/politics/trump-cancels-jan-6-news-conference-at-mar-a-lago-blames-news-media-and-house-committee-investigating-attack-on-capitol/2022/01/04/7dac1d9e-6db4-11ec-aaa8-35d1865a6977_story.html,3,The former president had planned to hold an event on Jan. 6 to mark the first anniversary of the attack by a mob of his supporters.
https://www.msnbc.com/rachel-maddow-show/more-police-officers-sue-trump-over-his-role-jan-6-n1286973,3,Trump likes to present himself as an ally of law enforcement. Lawsuits from police officers over Trump's Jan. 6 role put his posturing in a new light.
https://apnews.com/article/ashli-babbitt-capitol-siege-a15c7e52a04d932972b7a284c7a8f7df,3,"WASHINGTON (AP) — The first time Celeste Norris laid eyes on Ashli Babbitt, the future insurrectionist had just rammed her vehicle three times with an SUV and was pounding on the window, challenging her to a fight."
https://www.huffpost.com/entry/trump-seditious-conspiracy-jan-6-insurrection_n_61d3b280e4b061afe3a9cb86,3,"Rep. Bennie Thompson (D-Miss.), who chairs the House select committee investigating the Jan. 6 insurrection, said the panel already has “significant testimony” about Trump’s inaction."
https://nypost.com/2022/01/04/trump-cancels-jan-6-mar-a-lago-event-over-house-committees-total-bias-and-dishonesty/,3,Former President Donald Trump on Tuesday abruptly canceled his plans to hold a press conference on the first anniversary of the Capitol riot.
