url,n_users,description
https://www.youtube.com/watch?v=['-KH-38MFfP8'],2,White House Press Secretary Jen Psaki announces what President Joe Biden will speak about on the anniversary of January 6th - Via Newsmax's 'American Agenda....
https://www.breitbart.com/politics/2022/01/04/cover-up-house-republicans-demand-nancy-pelosi-answer-for-failures-to-secure-capitol-on-january-6/,2,breitbart.com | ‘Cover-Up’: Republicans Demand Pelosi Answer for ‘Failures’ to Secure Capitol on Jan. 6
https://redstate.com/jimthompson/2022/01/02/reporters-describe-january-6-2021-like-they-were-at-omaha-beach-and-it-turns-my-stomach-n500795,2,"redstate.com | Reporters Describe January 6, 2021, Like They Were at Omaha Beach, and It Turns My Stomach"
https://www.wyff4.com/article/teachers-are-on-the-front-lines-of-a-culture-war-when-it-comes-to-educating-students-about-jan-6/38661818,1,"Teachers are faced with how — or whether — to instruct their students about the events of Jan. 6, 2021."
https://www.newsmax.com/us/january-6/2022/01/02/id/1050736/,1,"President Joe Biden and President Kamala Harris will speak at the Capitol on January 6. According to reports, Biden and Harris will speak in marking the anniversary of the attack on the Capitol."
https://www.ky3.com/2022/01/01/feds-issue-security-warning-ahead-capitol-riot-anniversary/,1,"Federal officials are warning “threat actors” may take advantage of the upcoming anniversary of the Jan. 6 Capitol breach, according to an intelligence assessment issued Thursday to state and local officials."
https://www.lawenforcementtoday.com/confused-antifa-rioter-has-federal-charges-dismissed-by-biden-us-attorney/,1,"Acting U.S. Attorney Scott Erik Asphaug, nominated by Joe Biden, dismissed charges against Joshua ""Eve"" Warner, accused of shining laser pointers in the eyes of Portland, OR., police officers last year"
https://www.youtube.com/watch?v=['-EPZx1d4-Ac'],1,"After the Daily Caller clip, I delve deeper into these misconception about the 2016 and 2020 election with Larry Elder's Sacramento Bee interview when he was..."
https://www.newsmax.com/newsfront/capitol-breach-documents/2021/12/28/id/1050247/,1,
https://www.newsmax.com/newsfront/jan-6-democrats-memorialexhibit/2022/01/04/id/1051059,1,"House Democrats have failed to move forward with a planned Jan. 6 Capitol riot memorial bill roughly two days from the first anniversary, Breitbart reported on Tuesday."
https://www.newsmax.com/politics/harry-reid-lie-in-state-capitol-rotunda/2022/01/02/id/1050735/,1,"Final details are being worked out for Sen. Harry Reid to lie in state in the Capitol Rotunda during the week of January 10, a person familiar with the arrangements told Axios on Sunday."
https://www.newsmax.com/politics/pelosi-committee-jan-6-capitol/2022/01/02/id/1050730/,1,"Sixty-eight percent of Americans see the Jan. 6 attacks on the U.S. Capitol as ""a harbinger of increasing political violence, not an isolated incident,"" according to a new CBS/YouGov poll published Sunday."
https://www.nickadamsusa.com/news/biden-and-harris-will-speak-at-us-capitol-on-january-6th,1,"The Democrats and establishment media want the focus to remain on the events of January 6th 2021, and now Biden and Harris will be speaking at the Capitol on the 6th…"
https://www.westernjournal.com/unseen-footage-jan-6-4-star-generals-havent-read-constitution-told-enemy/,1,"According to one expert, the FBI had a reason for deploying armed agents to the houses of American citizens who were at the Capitol."
https://www.dailywire.com/news/725-people-have-been-arrested-for-jan-6-capitol-breach-most-hit-for-entering-or-remaining-in-capitol,1,"— News and Commentary —725+ People Have Been Arrested For Jan. 6 Capitol Breach, Most Hit For ‘Entering Or Remaining’ In CapitolBy Amanda Prestigiacomo•Jan 3, 2022 DailyWire.com•FacebookTwitterMailSAUL LOEB/AFP via Getty Images The Department of Justice boasted last week that more than ..."
https://www.pbs.org/newshour/show/trump-should-serve-time-for-jan-6-riot-partner-of-capitol-cop-who-died-says,1,"As rioters breached the Capitol's perimeter last January, Capitol Police Officers like Brian Sicknick tried pushing back the crowd to protect the building and the lawmakers. Pro-Trump rioters sprayed him with a chemical. He collapsed later that evening, suffered two strokes and died the next day, at..."
https://www.washingtonexaminer.com/news/garland-eve-of-capitol-riot-commits-to-protecting-voting-rights,1,
https://www.washingtonexaminer.com/news/jan-6-committee-will-ask-sean-hannity-to-cooperate-with-investigation,1,"The committee investigating the Jan. 6 riot at the Capitol will ask Fox News host Sean Hannity to cooperate with its investigation, Axios reported Tuesday."
https://www.washingtonexaminer.com/opinion/washington-secrets/fbi-brass-seen-as-bidens-personal-gestapo-poll,1,"Adoration of “G-men,” once celebrated in the nonpartisan war on Al Capone and organized crime and now leading the effort to round up Jan. 6 Capitol riot suspects and Trump supporters, is apparently…"
https://www.washingtonpost.com/politics/2022/01/05/priorities-usa-ad-buy-jan6-insurrection-trump-midterms/?tid=['sm_tw_pol'],1,"In a pair of ads, a Democratic Super PAC is trying to warn voters that the 2021 insurrection was ""just a test run."""
https://www.westernjournal.com/hit-piece-dead-woman-ap-news-attacks-insurrectionist-ashli-babbitts-character-cites-2016-incident/,1,"Many criticized The Associated Press for its investigative report on Ashli Babbitt, who was killed by a Capitol Police officer on Jan. 6."
https://www.huffpost.com/entry/jenna-ryan-sentenced-capitol-attack-trump_n_6182bb4fe4b0c8666bd6f913,1,"Jenna Ryan, a Texas real estate agent who flew to D.C. on a private plane and livestreamed in the Capitol, got 60 days in prison."
https://abcnews.go.com/Politics/republican-liz-cheney-calls-trump-unfit-future-office/story?id=['82039304'],1,abcnews.go.com | Republican Liz Cheney calls Trump 'clearly unfit for future office'
https://babylonbee.com/news/fbi-to-host-first-annual-jan-6-reunion,1,"WASHINGTON, D.C. - Special agents involved in last year’s ‘January 6th Insurrection Against Democracy™’ are set to reunite as guests of honor at an extravagant gala hosted by the FBI. The event will reportedly feature live music and entertainment, with comedian James Corden acting as master ..."
https://podcasts.apple.com/us/podcast/ep-90-why-dems-are-obsessed-with-jan-6th/id1567701295?i=['1000546990841'],1,"‎Show The Liz Wheeler Show, Ep Ep. 90: Why Dems Are Obsessed With Jan. 6th - Jan 5, 2022"
https://dothaneagle.com/news/national/govt-and-politics/jan-6-capitol-riot-probe-ready-to-go-public/article_979c56a2-5813-5ed5-84c1-833d40ea6156.html,1,
https://hotair.com/john-s-2/2022/01/04/democracy-is-not-in-crisis-just-because-democrats-are-losing-n439271,1,hotair.com | Democracy is not in crisis just because Democrats are losing
https://hotair.com/karen-townsend/2022/01/03/are-capitol-police-ready-for-a-january-6-type-of-attack-n438972,1,What is the progress?
https://ijr.com/house-republicans-turn-jan-6-tables-pelosi-double-standard-accusation/,1,"Pelosi is following the Democratic Party playbook of double standards, but the days for that might be running out."
https://news.yahoo.com/capitol-cop-says-rioters-sentences-162414889.html?ncid=['facebook_yahoomainf_js3jgx0vd5k'],1,news.yahoo.com | Capitol cop says rioters' sentences aren't harsh enough: 'Their jail time is less than my recovery time'
